#x[m]	y[m]	z[m]	pd[W/m^2]
0.00310703	0.000301645	0.0382791	0
0.00305613	-1.5621e-05	0.0382791	0
0.000563127	0.00365017	0.0382791	0
-0.0018987	0.00234598	0.0382791	0
-0.00143532	0.00238206	0.0382791	0
-0.00258897	0.000333409	0.0382791	0
-0.00312557	3.53056e-05	0.0382791	0
-0.0028086	-0.000190858	0.0382791	0
-0.000965685	0.00265764	0.0382791	0
-0.00119593	0.00252254	0.0382791	0
-0.00227904	8.22318e-05	0.0382791	0
-0.00230307	0.00048749	0.0382791	0
0.000186334	-0.000647359	0.0382791	0
0.000225278	-0.000651249	0.0382791	0
0.000206987	-0.000682585	0.0382791	0
0.00184786	0.000272237	0.0382791	0
0.00211703	0.000478932	0.0382791	0
0.00186419	0.00058413	0.0382791	0
0.00200684	0.000818117	0.0382791	0
5.05013e-05	-0.000736859	0.0382791	0
8.20804e-05	-0.000740478	0.0382791	0
7.31603e-05	-0.000704946	0.0382791	0
5.22124e-05	-0.00078091	0.0382791	0
1.96359e-05	-0.000758934	0.0382791	0
2.67465e-05	-0.000679395	0.0382791	0
0.000106313	-0.000707112	0.0382791	0
0.000166773	-0.000679674	0.0382791	0
0.000247086	-0.000680964	0.0382791	0
0.000639123	-0.000552035	0.0382791	0
0.000646421	-0.000588943	0.0382791	0
0.000609257	-0.000570843	0.0382791	0
0.000624542	-0.000609691	0.0382791	0
0.00057933	-0.000542287	0.0382791	0
0.000609576	-0.000538511	0.0382791	0
0.000592764	-0.000510644	0.0382791	0
0.000627407	-0.000516749	0.0382791	0
0.000559798	-0.000511465	0.0382791	0
0.000569908	-0.000573838	0.0382791	0
0.000544339	-0.000544223	0.0382791	0
0.000610062	-0.00047765	0.0382791	0
0.000473314	-0.000554137	0.0382791	0
0.000495585	-0.000589471	0.0382791	0
0.000460323	-0.000590367	0.0382791	0
0.000422308	-0.000539263	0.0382791	0
0.000421368	-0.000500337	0.0382791	0
0.000448802	-0.000523643	0.0382791	0
0.000455412	-0.00047953	0.0382791	0
0.00191239	-0.000885141	0.0382791	0
0.00187251	-0.00061466	0.0382791	0
0.00216889	-0.000768132	0.0382791	0
0.00163231	0.000279912	0.0382791	0
0.00218929	0.00115722	0.0382791	0
0.0023739	0.000747755	0.0382791	0
0.00267581	0.00110174	0.0382791	0
-0.000786026	-0.00202925	0.0382791	0
-0.000147552	-0.00199199	0.0382791	0
